w,p,Features,f,Rec.,Prec.,F1
1,3,a,None,0.9729,0.7303,0.8339
1,3,a,log2,0.9729,0.7303,0.8339
1,2,a,None,0.9729,0.7303,0.8339
1,2,a,sqrt,0.9729,0.7303,0.8339
1,3,a,sqrt,0.9729,0.7303,0.8339
1,2,a,log2,0.9729,0.7303,0.8339
1,1,a,None,0.9729,0.7303,0.8339
1,1,a,sqrt,0.9729,0.7303,0.8339
1,1,a,log2,0.9729,0.7303,0.8339
1,1,"a, e, sinI, n",sqrt,0.9463,0.7482,0.833
1,2,"a, e, sinI",None,0.9636,0.7354,0.8328
1,2,"a, e, sinI, n",sqrt,0.9487,0.746,0.8328
1,2,"a, e, sinI, n",log2,0.9339,0.7563,0.8327
1,3,"a, e, sinI, n",None,0.9558,0.7399,0.8324
1,2,"a, e",None,0.9646,0.7334,0.8322
1,2,"a, e, sinI, n",None,0.9556,0.7398,0.8321
1,3,"a, e",None,0.9641,0.7332,0.8319
1,2,"a, e, n",None,0.9554,0.7388,0.8316
1,1,"a, e, sinI, n",log2,0.9509,0.7417,0.8315
1,3,"a, e, sinI",None,0.9636,0.7327,0.8314
1,3,"a, e, n",None,0.9553,0.7382,0.8312
1,3,"a, e, sinI, n",log2,0.9372,0.7468,0.8266
0,3,"a, n, sinI",log2,0.8516,0.821,0.826
1,3,"a, e, sinI, n",sqrt,0.9422,0.7426,0.8252
0,3,"a, e",sqrt,0.8431,0.8165,0.8213
0,1,"a, e",sqrt,0.8077,0.8493,0.8202
0,2,"a, n, sinI",sqrt,0.8372,0.8196,0.8194
0,2,"a, e",log2,0.8275,0.8271,0.818
0,2,"a, e",sqrt,0.8203,0.8248,0.8119
0,3,"a, e",log2,0.8307,0.808,0.8097
1,3,"a, e, n",sqrt,0.9232,0.7258,0.8075
0,1,"a, e",log2,0.8045,0.8217,0.8053
1,3,"a, e, n",log2,0.9374,0.7209,0.8002
0,2,"a, sinI",log2,0.801,0.8105,0.7976
0,1,"a, sinI",sqrt,0.77,0.8392,0.7927
0,3,"a, sinI",sqrt,0.8016,0.7992,0.791
0,3,"e, n",log2,0.8223,0.7744,0.7888
1,2,"a, e, n",sqrt,0.9226,0.7153,0.7881
0,1,"sinI, n",log2,0.7935,0.8049,0.7865
0,2,"a, sinI",sqrt,0.7931,0.8001,0.786
1,1,"a, n, sinI",sqrt,0.957,0.6777,0.7847
0,3,"a, sinI",log2,0.7801,0.8036,0.7839
1,1,"a, e, n",sqrt,0.9219,0.6989,0.7792
1,2,"a, e, n",log2,0.9126,0.7024,0.7755
1,3,"a, n, sinI",sqrt,0.95,0.6695,0.7749
1,2,"a, n, sinI",log2,0.9455,0.6706,0.7728
0,1,"sinI, n",sqrt,0.7739,0.8082,0.7712
1,2,"a, n, sinI",sqrt,0.9525,0.6694,0.7688
0,1,"e, n",sqrt,0.7844,0.7682,0.767
0,3,"e, n",sqrt,0.7893,0.7526,0.764
0,2,"e, n",log2,0.7895,0.7472,0.7622
0,3,"sinI, n",sqrt,0.7951,0.7466,0.7592
0,1,"e, n",log2,0.7623,0.7678,0.7569
0,2,"e, n",sqrt,0.786,0.7536,0.7568
0,2,"sinI, n",log2,0.7887,0.7532,0.7537
