Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
35220,91,35129,47358,91,47267,RF,"a, e, n",85,17,47250,6,1.0,0.833,0.934,0.881
35293,92,35201,47358,91,47267,RF,"a, e, n",85,15,47252,6,1.0,0.85,0.934,0.89
36477,93,36384,47358,91,47267,RF,"a, e, n",85,17,47250,6,1.0,0.833,0.934,0.881
37936,94,37842,47358,91,47267,RF,"a, e, n",85,12,47255,6,1.0,0.876,0.934,0.904
38163,95,38068,47358,91,47267,RF,"a, e, n",85,12,47255,6,1.0,0.876,0.934,0.904
38168,96,38072,47358,91,47267,RF,"a, e, n",85,13,47254,6,1.0,0.867,0.934,0.899
38567,97,38470,47358,91,47267,RF,"a, e, n",85,13,47254,6,1.0,0.867,0.934,0.899
38806,98,38708,47358,91,47267,RF,"a, e, n",85,12,47255,6,1.0,0.876,0.934,0.904
38817,99,38718,47358,91,47267,RF,"a, e, n",85,14,47253,6,1.0,0.859,0.934,0.895
39661,100,39561,47358,91,47267,RF,"a, e, n",85,16,47251,6,1.0,0.842,0.934,0.885
