Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
23600,71,23529,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
24003,72,23931,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
24435,73,24362,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
24839,74,24765,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
24851,75,24776,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
24990,76,24914,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
25345,77,25268,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
25919,78,25841,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
26596,79,26517,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
27708,80,27628,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
28054,81,27973,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
29315,82,29233,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
29357,83,29274,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
29428,84,29344,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
30362,85,30277,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
30489,86,30403,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
31286,87,31199,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
32255,88,32167,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
32488,89,32399,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
33138,90,33048,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
35220,91,35129,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
35293,92,35201,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
36477,93,36384,47358,91,47267,Ada,"a, e, sinI",85,13,47254,6,1.0,0.867,0.934,0.899
37936,94,37842,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
38163,95,38068,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
38168,96,38072,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
38567,97,38470,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
38806,98,38708,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
38817,99,38718,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
39661,100,39561,47358,91,47267,Ada,"a, e, sinI",85,12,47255,6,1.0,0.876,0.934,0.904
