,Rank,Features,Accuracy,Precision,Recall,F1 score,Class_weight,Max_depth,Max_features,Min_samples_split,N_estimators
344,345,"e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,10
345,346,"e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,20
346,347,"e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,50
347,348,"e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,100
348,349,"e, sinI",0.997,0.000,0.000,0.000,,7.0,sqrt,3,10
349,350,"e, sinI",0.997,0.000,0.000,0.000,,7.0,sqrt,3,20
350,351,"e, sinI",0.997,0.000,0.000,0.000,,7.0,sqrt,3,50
351,352,"e, sinI",0.997,0.000,0.000,0.000,,7.0,sqrt,3,100
352,353,"a, e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,10
353,354,"a, e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,20
354,355,"a, e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,50
355,356,"a, e, sinI",0.997,0.000,0.000,0.000,,3.0,sqrt,3,100
356,357,"e, sinI, n",0.997,0.000,0.000,0.000,,3.0,sqrt,3,10
357,358,"e, sinI, n",0.997,0.000,0.000,0.000,,3.0,sqrt,3,20
358,359,"e, sinI, n",0.997,0.000,0.000,0.000,,3.0,sqrt,3,50
359,360,"e, sinI, n",0.997,0.000,0.000,0.000,,3.0,sqrt,3,100
