,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
69,70,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,96
70,71,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,97
71,72,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,98
72,73,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,99
73,74,"a, e",1.000,0.954,0.947,0.950,0.1,exponential,,sqrt,9,100
74,75,"a, e",1.000,0.955,0.947,0.950,0.1,exponential,5.0,sqrt,9,48
75,76,"a, e",1.000,0.955,0.947,0.950,0.1,exponential,5.0,sqrt,9,53
76,77,"a, e",1.000,0.955,0.947,0.950,0.1,exponential,5.0,sqrt,9,56
77,78,"a, e",1.000,0.955,0.947,0.950,0.1,exponential,5.0,sqrt,9,57
78,79,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,55
79,80,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,56
80,81,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,57
81,82,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,58
82,83,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,59
83,84,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,60
84,85,"a, e",1.000,0.947,0.947,0.946,0.1,exponential,,sqrt,9,61
85,86,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,5.0,sqrt,9,49
86,87,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,5.0,sqrt,9,52
87,88,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,65
88,89,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,66
89,90,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,67
90,91,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,68
91,92,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,69
92,93,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,70
93,94,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,72
94,95,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,82
95,96,"a, e",1.000,0.954,0.939,0.946,0.1,exponential,,sqrt,9,86
96,97,"a, e",1.000,0.947,0.939,0.942,0.1,exponential,,sqrt,9,50
97,98,"a, e",1.000,0.947,0.939,0.942,0.1,exponential,,sqrt,9,51
98,99,"a, e",1.000,0.947,0.939,0.942,0.1,exponential,,sqrt,9,54
99,100,"a, e",1.000,0.947,0.939,0.942,0.1,exponential,,sqrt,9,62
100,101,"a, e",1.000,0.947,0.939,0.942,0.1,exponential,,sqrt,9,63
101,102,"a, e",1.000,0.947,0.939,0.942,0.1,exponential,,sqrt,9,64
102,103,"a, e",1.000,0.954,0.931,0.941,0.1,exponential,5.0,sqrt,9,47
103,104,"a, e",1.000,0.946,0.931,0.938,0.1,exponential,,sqrt,9,49
104,105,"a, e",1.000,0.946,0.931,0.938,0.1,exponential,,sqrt,9,52
105,106,"a, e",1.000,0.946,0.931,0.938,0.1,exponential,,sqrt,9,53
106,107,"a, e",1.000,0.953,0.924,0.938,0.1,exponential,,sqrt,9,45
107,108,"a, e",1.000,0.953,0.924,0.938,0.1,exponential,,sqrt,9,46
108,109,"a, e",1.000,0.953,0.924,0.938,0.1,exponential,,sqrt,9,47
109,110,"a, e",1.000,0.953,0.924,0.938,0.1,exponential,,sqrt,9,48
110,111,"a, e",1.000,0.954,0.924,0.937,0.1,exponential,5.0,sqrt,9,43
111,112,"a, e",1.000,0.954,0.924,0.937,0.1,exponential,5.0,sqrt,9,44
112,113,"a, e",1.000,0.954,0.924,0.937,0.1,exponential,5.0,sqrt,9,45
113,114,"a, e",1.000,0.954,0.924,0.937,0.1,exponential,5.0,sqrt,9,46
114,115,"a, e",1.000,0.953,0.917,0.933,0.1,exponential,,sqrt,9,44
115,116,"a, e",1.000,0.953,0.916,0.932,0.1,exponential,5.0,sqrt,9,40
