,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e",1.000,0.949,0.977,0.962,0.2,exponential,8.0,sqrt,8,95
1,2,"a, sinI",1.000,0.949,0.977,0.962,0.2,exponential,8.0,sqrt,25,95
2,3,"a, e",1.000,0.956,0.970,0.962,0.2,exponential,8.0,sqrt,49,95
3,4,"a, e",1.000,0.956,0.970,0.962,0.2,exponential,8.0,sqrt,57,55
4,5,"a, e",1.000,0.956,0.970,0.962,0.2,exponential,8.0,sqrt,59,55
5,6,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,,sqrt,19,55
6,7,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,5,95
7,8,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,26,55
8,9,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,26,95
9,10,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,28,55
10,11,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,38,55
11,12,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,41,55
12,13,"a, sinI",1.000,0.955,0.969,0.962,0.2,exponential,8.0,sqrt,53,55
13,14,"a, e",1.000,0.963,0.962,0.962,0.2,exponential,,sqrt,54,55
14,15,"a, e",1.000,0.963,0.962,0.962,0.2,exponential,,sqrt,56,55
15,16,"a, e",1.000,0.963,0.962,0.962,0.2,exponential,,sqrt,58,55
16,17,"a, e",1.000,0.963,0.962,0.962,0.2,exponential,,sqrt,60,55
17,18,"a, sinI",1.000,0.962,0.962,0.962,0.2,exponential,8.0,sqrt,16,55
18,19,"a, sinI",1.000,0.962,0.962,0.961,0.2,exponential,8.0,sqrt,47,55
19,20,"a, sinI",1.000,0.962,0.962,0.961,0.2,exponential,8.0,sqrt,49,55
20,21,"a, sinI",1.000,0.962,0.962,0.961,0.2,exponential,8.0,sqrt,56,55
21,22,"a, sinI",1.000,0.969,0.954,0.961,0.2,exponential,8.0,sqrt,43,95
22,23,"a, e, n",1.000,0.971,0.955,0.961,0.2,exponential,,sqrt,4,95
23,24,"a, e",1.000,0.949,0.970,0.959,0.2,exponential,8.0,sqrt,60,55
24,25,"a, sinI",1.000,0.948,0.970,0.959,0.2,exponential,,sqrt,15,95
25,26,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,10,95
26,27,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,18,95
27,28,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,30,95
28,29,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,32,95
29,30,"a, e",1.000,0.949,0.970,0.958,0.2,exponential,8.0,sqrt,43,95
