Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
3508,6,3502,47358,91,47267,"kNN, k=16, p=2","a, n",89,37,47230,2,0.999,0.706,0.978,0.82
3523,7,3516,47358,91,47267,"kNN, k=3, p=1",n,87,22,47245,4,0.999,0.798,0.956,0.87
3523,7,3516,47358,91,47267,"kNN, k=3, p=1","a, n",87,26,47241,4,0.999,0.77,0.956,0.853
3523,7,3516,47358,91,47267,"kNN, k=3, p=2",n,87,22,47245,4,0.999,0.798,0.956,0.87
3523,7,3516,47358,91,47267,"kNN, k=3, p=2","a, n",88,26,47241,3,0.999,0.772,0.967,0.859
3523,7,3516,47358,91,47267,"kNN, k=16, p=1",n,88,32,47235,3,0.999,0.733,0.967,0.834
3523,7,3516,47358,91,47267,"kNN, k=16, p=1","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
3523,7,3516,47358,91,47267,"kNN, k=16, p=2",n,88,32,47235,3,0.999,0.733,0.967,0.834
3523,7,3516,47358,91,47267,"kNN, k=16, p=2","a, n",89,38,47229,2,0.999,0.701,0.978,0.817
3540,8,3532,47358,91,47267,"kNN, k=3, p=1",n,87,22,47245,4,0.999,0.798,0.956,0.87
3540,8,3532,47358,91,47267,"kNN, k=3, p=1","a, n",87,26,47241,4,0.999,0.77,0.956,0.853
3540,8,3532,47358,91,47267,"kNN, k=3, p=2",n,87,22,47245,4,0.999,0.798,0.956,0.87
3540,8,3532,47358,91,47267,"kNN, k=3, p=2","a, n",88,26,47241,3,0.999,0.772,0.967,0.859
3540,8,3532,47358,91,47267,"kNN, k=16, p=1",n,88,36,47231,3,0.999,0.71,0.967,0.819
3540,8,3532,47358,91,47267,"kNN, k=16, p=1","a, n",89,42,47225,2,0.999,0.679,0.978,0.802
3540,8,3532,47358,91,47267,"kNN, k=16, p=2",n,88,36,47231,3,0.999,0.71,0.967,0.819
3540,8,3532,47358,91,47267,"kNN, k=16, p=2","a, n",89,42,47225,2,0.999,0.679,0.978,0.802
3661,9,3652,47358,91,47267,"kNN, k=3, p=1",n,87,26,47241,4,0.999,0.77,0.956,0.853
3661,9,3652,47358,91,47267,"kNN, k=3, p=1","a, n",87,30,47237,4,0.999,0.744,0.956,0.837
3661,9,3652,47358,91,47267,"kNN, k=3, p=2",n,87,26,47241,4,0.999,0.77,0.956,0.853
3661,9,3652,47358,91,47267,"kNN, k=3, p=2","a, n",88,30,47237,3,0.999,0.746,0.967,0.842
3661,9,3652,47358,91,47267,"kNN, k=16, p=1",n,88,37,47230,3,0.999,0.704,0.967,0.815
3661,9,3652,47358,91,47267,"kNN, k=16, p=1","a, n",89,44,47223,2,0.999,0.669,0.978,0.795
3661,9,3652,47358,91,47267,"kNN, k=16, p=2",n,88,37,47230,3,0.999,0.704,0.967,0.815
3661,9,3652,47358,91,47267,"kNN, k=16, p=2","a, n",89,44,47223,2,0.999,0.669,0.978,0.795
4437,10,4427,47358,91,47267,"kNN, k=3, p=1",n,87,26,47241,4,0.999,0.77,0.956,0.853
4437,10,4427,47358,91,47267,"kNN, k=3, p=1","a, n",87,30,47237,4,0.999,0.744,0.956,0.837
4437,10,4427,47358,91,47267,"kNN, k=3, p=2",n,87,26,47241,4,0.999,0.77,0.956,0.853
4437,10,4427,47358,91,47267,"kNN, k=3, p=2","a, n",88,30,47237,3,0.999,0.746,0.967,0.842
4437,10,4427,47358,91,47267,"kNN, k=16, p=1",n,88,41,47226,3,0.999,0.682,0.967,0.8
4437,10,4427,47358,91,47267,"kNN, k=16, p=1","a, n",89,46,47221,2,0.999,0.659,0.978,0.788
4437,10,4427,47358,91,47267,"kNN, k=16, p=2",n,88,41,47226,3,0.999,0.682,0.967,0.8
4437,10,4427,47358,91,47267,"kNN, k=16, p=2","a, n",89,46,47221,2,0.999,0.659,0.978,0.788
4860,11,4849,47358,91,47267,"kNN, k=3, p=1",n,87,24,47243,4,0.999,0.784,0.956,0.861
4860,11,4849,47358,91,47267,"kNN, k=3, p=1","a, n",87,28,47239,4,0.999,0.757,0.956,0.845
4860,11,4849,47358,91,47267,"kNN, k=3, p=2",n,87,24,47243,4,0.999,0.784,0.956,0.861
4860,11,4849,47358,91,47267,"kNN, k=3, p=2","a, n",88,28,47239,3,0.999,0.759,0.967,0.85
4860,11,4849,47358,91,47267,"kNN, k=16, p=1",n,88,41,47226,3,0.999,0.682,0.967,0.8
4860,11,4849,47358,91,47267,"kNN, k=16, p=1","a, n",89,46,47221,2,0.999,0.659,0.978,0.788
4860,11,4849,47358,91,47267,"kNN, k=16, p=2",n,88,41,47226,3,0.999,0.682,0.967,0.8
4860,11,4849,47358,91,47267,"kNN, k=16, p=2","a, n",89,46,47221,2,0.999,0.659,0.978,0.788
5008,12,4996,47358,91,47267,"kNN, k=3, p=1",n,87,24,47243,4,0.999,0.784,0.956,0.861
5008,12,4996,47358,91,47267,"kNN, k=3, p=1","a, n",87,28,47239,4,0.999,0.757,0.956,0.845
5008,12,4996,47358,91,47267,"kNN, k=3, p=2",n,87,24,47243,4,0.999,0.784,0.956,0.861
5008,12,4996,47358,91,47267,"kNN, k=3, p=2","a, n",88,28,47239,3,0.999,0.759,0.967,0.85
5008,12,4996,47358,91,47267,"kNN, k=16, p=1",n,88,42,47225,3,0.999,0.677,0.967,0.796
5008,12,4996,47358,91,47267,"kNN, k=16, p=1","a, n",89,46,47221,2,0.999,0.659,0.978,0.788
5008,12,4996,47358,91,47267,"kNN, k=16, p=2",n,88,42,47225,3,0.999,0.677,0.967,0.796
5008,12,4996,47358,91,47267,"kNN, k=16, p=2","a, n",89,46,47221,2,0.999,0.659,0.978,0.788
5392,13,5379,47358,91,47267,"kNN, k=3, p=1",n,87,23,47244,4,0.999,0.791,0.956,0.866
5392,13,5379,47358,91,47267,"kNN, k=3, p=1","a, n",87,27,47240,4,0.999,0.763,0.956,0.849
5392,13,5379,47358,91,47267,"kNN, k=3, p=2",n,87,23,47244,4,0.999,0.791,0.956,0.866
5392,13,5379,47358,91,47267,"kNN, k=3, p=2","a, n",88,25,47242,3,0.999,0.779,0.967,0.863
5392,13,5379,47358,91,47267,"kNN, k=16, p=1",n,88,36,47231,3,0.999,0.71,0.967,0.819
5392,13,5379,47358,91,47267,"kNN, k=16, p=1","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
5392,13,5379,47358,91,47267,"kNN, k=16, p=2",n,88,36,47231,3,0.999,0.71,0.967,0.819
5392,13,5379,47358,91,47267,"kNN, k=16, p=2","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
5784,14,5770,47358,91,47267,"kNN, k=3, p=1",n,87,24,47243,4,0.999,0.784,0.956,0.861
5784,14,5770,47358,91,47267,"kNN, k=3, p=1","a, n",89,29,47238,2,0.999,0.754,0.978,0.852
5784,14,5770,47358,91,47267,"kNN, k=3, p=2",n,87,24,47243,4,0.999,0.784,0.956,0.861
5784,14,5770,47358,91,47267,"kNN, k=3, p=2","a, n",89,31,47236,2,0.999,0.742,0.978,0.844
5784,14,5770,47358,91,47267,"kNN, k=16, p=1",n,88,36,47231,3,0.999,0.71,0.967,0.819
5784,14,5770,47358,91,47267,"kNN, k=16, p=1","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
5784,14,5770,47358,91,47267,"kNN, k=16, p=2",n,88,36,47231,3,0.999,0.71,0.967,0.819
5784,14,5770,47358,91,47267,"kNN, k=16, p=2","a, n",89,40,47227,2,0.999,0.69,0.978,0.809
5808,15,5793,47358,91,47267,"kNN, k=3, p=1",n,87,24,47243,4,0.999,0.784,0.956,0.861
