,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
0,1,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,15,95
1,2,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,16,95
2,3,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,20,95
3,4,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,21,95
4,5,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,24,95
5,6,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,31,95
6,7,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,54,95
7,8,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,56,95
8,9,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,57,95
9,10,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,58,95
10,11,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,66,95
11,12,"a, e",1.000,0.956,0.970,0.962,0.1,exponential,6.0,sqrt,68,95
12,13,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,10,95
13,14,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,11,95
14,15,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,12,95
15,16,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,13,95
16,17,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,14,95
17,18,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,15,95
18,19,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,22,95
19,20,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,26,95
20,21,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,29,95
21,22,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,33,95
22,23,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,39,95
23,24,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,44,95
24,25,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,45,95
25,26,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,49,95
26,27,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,50,95
27,28,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,55,95
28,29,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,56,95
29,30,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,65,95
30,31,"a, sinI",1.000,0.955,0.969,0.962,0.1,exponential,6.0,sqrt,68,95
31,32,"a, e",1.000,0.963,0.962,0.962,0.1,exponential,,sqrt,53,95
32,33,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,3,55
33,34,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,4,95
34,35,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,7,55
35,36,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,57,55
36,37,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,59,55
37,38,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,60,55
38,39,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,72,55
39,40,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,73,55
40,41,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,74,55
41,42,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,75,55
42,43,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,76,55
43,44,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,77,55
44,45,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,83,55
45,46,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,84,55
46,47,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,85,55
47,48,"a, sinI",1.000,0.962,0.962,0.962,0.1,exponential,6.0,sqrt,86,55
