Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","a, sinI",91,752,46515,0,0.984,0.108,1.0,0.195
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","a, n",90,467,46800,1,0.99,0.162,0.989,0.278
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","e, sinI",56,18284,28983,35,0.613,0.003,0.615,0.006
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","e, n",91,3229,44038,0,0.932,0.027,1.0,0.053
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","sinI, n",91,742,46525,0,0.984,0.109,1.0,0.197
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","a, e, sinI",91,3313,43954,0,0.93,0.027,1.0,0.052
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","a, e, n",91,2830,44437,0,0.94,0.031,1.0,0.06
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","a, sinI, n",91,664,46603,0,0.986,0.121,1.0,0.215
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","e, sinI, n",91,3242,44025,0,0.932,0.027,1.0,0.053
99,50,49,47358,91,47267,"kNN, k=3, p=2, w=2","a, e, sinI, n",91,2833,44434,0,0.94,0.031,1.0,0.06
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1",a,91,1800,45467,0,0.962,0.048,1.0,0.092
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1",e,47,18792,28475,44,0.602,0.002,0.516,0.005
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1",sinI,51,16071,31196,40,0.66,0.003,0.56,0.006
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1",n,91,1809,45458,0,0.962,0.048,1.0,0.091
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, e",91,5614,41653,0,0.881,0.016,1.0,0.031
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, sinI",91,1963,45304,0,0.959,0.044,1.0,0.085
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, n",91,1808,45459,0,0.962,0.048,1.0,0.091
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","e, sinI",48,19278,27989,43,0.592,0.002,0.527,0.005
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","e, n",91,5484,41783,0,0.884,0.016,1.0,0.032
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","sinI, n",91,1964,45303,0,0.959,0.044,1.0,0.085
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, e, sinI",91,5711,41556,0,0.879,0.016,1.0,0.031
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, e, n",91,3660,43607,0,0.923,0.024,1.0,0.047
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, sinI, n",91,1919,45348,0,0.959,0.045,1.0,0.087
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","e, sinI, n",91,5564,41703,0,0.883,0.016,1.0,0.032
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=1","a, e, sinI, n",91,3702,43565,0,0.922,0.024,1.0,0.047
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2",a,91,709,46558,0,0.985,0.114,1.0,0.204
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2",e,46,16883,30384,45,0.643,0.003,0.505,0.005
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2",sinI,53,17753,29514,38,0.624,0.003,0.582,0.006
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2",n,90,715,46552,1,0.985,0.112,0.989,0.201
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2","a, e",91,4280,42987,0,0.91,0.021,1.0,0.041
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2","a, sinI",91,1013,46254,0,0.979,0.082,1.0,0.152
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2","a, n",90,715,46552,1,0.985,0.112,0.989,0.201
99,50,49,47358,91,47267,"kNN, k=5, p=1, w=2","e, sinI",56,18252,29015,35,0.614,0.003,0.615,0.006
