Train Set,Train R,Train NR,Test Set,Test R,Test NR,Meth. & Params,Features,TP,FP,TN,FN,Acc.,Prec.,Rec.,F1
5784,14,5770,47358,91,47267,GB1,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
5784,14,5770,47358,91,47267,GB2,"a, e",88,30,47237,3,0.999,0.746,0.967,0.842
5784,14,5770,47358,91,47267,GB2,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
5808,15,5793,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
5808,15,5793,47358,91,47267,GB1,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
5808,15,5793,47358,91,47267,GB2,"a, e",87,30,47237,4,0.999,0.744,0.956,0.837
5808,15,5793,47358,91,47267,GB2,"a, sinI",88,31,47236,3,0.999,0.739,0.967,0.838
6526,16,6510,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
6526,16,6510,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6526,16,6510,47358,91,47267,GB2,"a, e",88,30,47237,3,0.999,0.746,0.967,0.842
6526,16,6510,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6703,17,6686,47358,91,47267,GB1,"a, e",89,31,47236,2,0.999,0.742,0.978,0.844
6703,17,6686,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
6703,17,6686,47358,91,47267,GB2,"a, e",88,30,47237,3,0.999,0.746,0.967,0.842
6703,17,6686,47358,91,47267,GB2,"a, sinI",89,32,47235,2,0.999,0.736,0.978,0.84
7359,18,7341,47358,91,47267,GB1,"a, e",89,25,47242,2,0.999,0.781,0.978,0.868
7359,18,7341,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7359,18,7341,47358,91,47267,GB2,"a, e",89,25,47242,2,0.999,0.781,0.978,0.868
7359,18,7341,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7561,19,7542,47358,91,47267,GB1,"a, e",89,25,47242,2,0.999,0.781,0.978,0.868
7561,19,7542,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7561,19,7542,47358,91,47267,GB2,"a, e",88,25,47242,3,0.999,0.779,0.967,0.863
7561,19,7542,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
7680,20,7660,47358,91,47267,GB1,"a, e",89,25,47242,2,0.999,0.781,0.978,0.868
7680,20,7660,47358,91,47267,GB1,"a, sinI",89,29,47238,2,0.999,0.754,0.978,0.852
7680,20,7660,47358,91,47267,GB2,"a, e",89,25,47242,2,0.999,0.781,0.978,0.868
7680,20,7660,47358,91,47267,GB2,"a, sinI",89,29,47238,2,0.999,0.754,0.978,0.852
8270,21,8249,47358,91,47267,GB1,"a, e",88,25,47242,3,0.999,0.779,0.967,0.863
8270,21,8249,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
8270,21,8249,47358,91,47267,GB2,"a, e",88,25,47242,3,0.999,0.779,0.967,0.863
8270,21,8249,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
9240,22,9218,47358,91,47267,GB1,"a, e",87,25,47242,4,0.999,0.777,0.956,0.857
9240,22,9218,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
9240,22,9218,47358,91,47267,GB2,"a, e",88,25,47242,3,0.999,0.779,0.967,0.863
9240,22,9218,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
9454,23,9431,47358,91,47267,GB1,"a, e",88,25,47242,3,0.999,0.779,0.967,0.863
9454,23,9431,47358,91,47267,GB1,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
9454,23,9431,47358,91,47267,GB2,"a, e",89,25,47242,2,0.999,0.781,0.978,0.868
9454,23,9431,47358,91,47267,GB2,"a, sinI",89,33,47234,2,0.999,0.73,0.978,0.836
9533,24,9509,47358,91,47267,GB1,"a, e",87,21,47246,4,0.999,0.806,0.956,0.874
