,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
56,57,"a, e, sinI, n",1.000,0.950,0.955,0.950,0.1,exponential,4.0,sqrt,3,75
57,58,"a, e, sinI, n",1.000,0.950,0.955,0.950,0.2,exponential,4.0,sqrt,3,65
58,59,"a, e, sinI, n",1.000,0.950,0.955,0.950,0.2,exponential,4.0,sqrt,3,85
59,60,"a, e, sinI, n",1.000,0.950,0.955,0.950,0.2,exponential,4.0,sqrt,3,95
60,61,"a, e, sinI",1.000,0.955,0.947,0.950,0.2,exponential,4.0,sqrt,3,55
61,62,"a, sinI, n",1.000,0.955,0.947,0.950,0.1,exponential,4.0,sqrt,3,45
62,63,"a, e, n",1.000,0.957,0.948,0.950,0.2,exponential,4.0,sqrt,3,35
63,64,"a, e",1.000,0.961,0.939,0.949,0.1,exponential,,sqrt,3,75
64,65,"a, e",1.000,0.961,0.939,0.949,0.1,exponential,,sqrt,3,85
65,66,"a, e",1.000,0.961,0.939,0.949,0.2,exponential,,sqrt,3,45
66,67,"a, e, sinI",1.000,0.954,0.946,0.949,0.2,exponential,4.0,sqrt,3,85
67,68,"a, e, sinI, n",1.000,0.956,0.948,0.949,0.1,exponential,4.0,sqrt,3,65
68,69,"a, e, sinI, n",1.000,0.956,0.948,0.949,0.2,exponential,4.0,sqrt,3,25
69,70,"a, e, sinI, n",1.000,0.956,0.948,0.949,0.2,exponential,4.0,sqrt,3,45
70,71,"a, e, sinI, n",1.000,0.956,0.948,0.949,0.2,exponential,4.0,sqrt,3,55
71,72,"a, e, sinI, n",1.000,0.956,0.948,0.949,0.1,exponential,4.0,sqrt,3,85
72,73,"a, e, sinI, n",1.000,0.956,0.948,0.949,0.1,exponential,4.0,sqrt,3,95
73,74,"a, e, n",1.000,0.964,0.940,0.949,0.1,exponential,,sqrt,3,75
74,75,"a, e, n",1.000,0.964,0.940,0.949,0.1,exponential,,sqrt,3,85
75,76,"a, e, n",1.000,0.964,0.940,0.949,0.1,exponential,,sqrt,3,95
76,77,"a, sinI, n",1.000,0.969,0.932,0.949,0.1,exponential,,sqrt,3,75
77,78,"a, e",1.000,0.962,0.939,0.949,0.2,exponential,,sqrt,3,65
78,79,"a, e",1.000,0.962,0.939,0.949,0.2,exponential,,sqrt,3,75
79,80,"a, e",1.000,0.962,0.939,0.949,0.2,exponential,,sqrt,3,85
80,81,"a, e",1.000,0.962,0.939,0.949,0.2,exponential,,sqrt,3,95
81,82,"a, e, sinI, n",1.000,0.963,0.940,0.949,0.2,exponential,,sqrt,3,85
82,83,"a, e, sinI, n",1.000,0.963,0.940,0.949,0.2,exponential,,sqrt,3,95
83,84,"a, e, n",1.000,0.963,0.940,0.949,0.1,exponential,4.0,sqrt,3,45
84,85,"a, e, n",1.000,0.963,0.940,0.949,0.1,exponential,4.0,sqrt,3,55
85,86,"a, e, n",1.000,0.963,0.940,0.949,0.2,exponential,4.0,sqrt,3,25
